hora,media
1,23.916888888888888
2,53.57266666666666
3,53.544666666666664
4,53.60066666666666
5,14.277333333333333
6,38.67577777777778
7,76.62055555555555
8,71.39844444444444
9,91.05731707317074
10,145.08350000000002
11,169.45883333333333
12,175.931
13,179.87533333333334
14,160.81933333333333
15,150.27766666666668
16,128.54183333333333
17,93.04116666666667
18,64.93066666666667
19,23.8335
20,0.13883333333333334
21,41.59683333333333
22,53.358
23,53.344
24,12.457666666666666
