dia,turno,temp_media_turno,rh_media_turno,thi_media_turno
2025-11-12,Madrugada,23.16333333333333,65.64388888888888,70.72484363888888
2025-11-12,Manhã,25.365555555555556,65.94333333333333,73.89321443333333
2025-11-12,Tarde,26.447222222222223,68.17,75.79131705
2025-11-12,Noite,23.782777777777774,75.7388888888889,72.5550526388889
2025-11-13,Madrugada,22.25722222222222,78.48666666666666,70.39884391666666
2025-11-13,Manhã,26.328888888888887,71.46888888888888,75.80518373888889
2025-11-13,Tarde,33.765,52.19111111111111,83.6019688111111
2025-11-13,Noite,27.390555555555558,68.06333333333333,77.13604068333333
2025-11-14,Madrugada,22.63,70.95611111111111,70.36024076111111
2025-11-14,Manhã,22.225609756097562,72.21219512195121,69.82435501219513
